Player,Time,Região,ACS,Kills,Deaths,Assists,K - D,ADR,First Kill,First Death,FK - FD,HS%,Adversário,Região Adiversário,Mapa,Mapa Pick,Lado de Início,Rounds Vencidos,Rounds Perdidos,Resultado,Rounds Ataque,Rounds Defesa,Agente,Data,Etapa,Grupo,Bracket,MD,Campeonato
shion,Havan Liberty,BR,184,17,20,13,-3,"133,6",2,1,1,"0,27",Six Karma,LATAM,Bind,Havan Liberty,Ataque,12,14,Perdedor,3,9,Skye,44483,Grupos,B,Decider,3,LCQ South America
pleets,Havan Liberty,BR,163,13,23,9,-10,"106,9",3,4,-1,"0,15",Six Karma,LATAM,Bind,Havan Liberty,Ataque,12,14,Perdedor,3,9,Astra,44483,Grupos,B,Decider,3,LCQ South America
Myssen,Havan Liberty,BR,94,10,21,6,-11,"69,6",0,1,-1,"0,65",Six Karma,LATAM,Bind,Havan Liberty,Ataque,12,14,Perdedor,3,9,Breach,44483,Grupos,B,Decider,3,LCQ South America
BandiCoot,Six Karma,LATAM,279,25,15,12,10,"201,5",4,0,4,"0,12",Havan Liberty,BR,Bind,Havan Liberty,Defesa,14,12,Vencedor,4,10,Astra,44483,Grupos,B,Decider,3,LCQ South America
xander,Six Karma,LATAM,260,21,17,8,4,"168,7",5,6,-1,"0,12",Havan Liberty,BR,Bind,Havan Liberty,Defesa,14,12,Vencedor,4,10,Raze,44483,Grupos,B,Decider,3,LCQ South America
Maka,Six Karma,LATAM,253,24,20,5,4,"155,3",3,3,0,"0,16",Havan Liberty,BR,Bind,Havan Liberty,Defesa,14,12,Vencedor,4,10,Viper,44483,Grupos,B,Decider,3,LCQ South America
Mited,Six Karma,LATAM,152,16,15,4,1,78,2,0,2,"0,16",Havan Liberty,BR,Bind,Havan Liberty,Defesa,14,12,Vencedor,4,10,Reyna,44483,Grupos,B,Decider,3,LCQ South America
BEAST,Six Karma,LATAM,131,11,13,9,-2,"109,6",0,3,-3,"0,18",Havan Liberty,BR,Bind,Havan Liberty,Defesa,14,12,Vencedor,4,10,Sova,44483,Grupos,B,Decider,3,LCQ South America
liazzi,Havan Liberty,BR,345,22,9,3,13,"230,4",2,0,2,"0,22",Six Karma,LATAM,Split,Six Karma,Defesa,13,4,Vencedor,5,8,Killjoy,44483,Grupos,B,Decider,3,LCQ South America
shion,Havan Liberty,BR,287,18,11,7,7,"188,9",5,1,4,"0,24",Six Karma,LATAM,Split,Six Karma,Defesa,13,4,Vencedor,5,8,Raze,44483,Grupos,B,Decider,3,LCQ South America
pleets,Havan Liberty,BR,226,14,9,7,5,"147,8",3,2,1,"0,18",Six Karma,LATAM,Split,Six Karma,Defesa,13,4,Vencedor,5,8,Astra,44483,Grupos,B,Decider,3,LCQ South America
krain,Havan Liberty,BR,159,10,13,4,-3,"172,5",1,1,0,"0,22",Six Karma,LATAM,Split,Six Karma,Defesa,13,4,Vencedor,5,8,Skye,44483,Grupos,B,Decider,3,LCQ South America
Myssen,Havan Liberty,BR,124,6,10,5,-4,"94,6",0,2,-2,"0,3",Six Karma,LATAM,Split,Six Karma,Defesa,13,4,Vencedor,5,8,Viper,44483,Grupos,B,Decider,3,LCQ South America
xander,Six Karma,LATAM,271,16,15,4,1,"148,4",6,2,4,"0,12",Havan Liberty,BR,Split,Six Karma,Ataque,4,13,Perdedor,4,0,Jett,44483,Grupos,B,Decider,3,LCQ South America
BandiCoot,Six Karma,LATAM,226,12,13,5,-1,"149,2",0,1,-1,"0,16",Havan Liberty,BR,Split,Six Karma,Ataque,4,13,Perdedor,4,0,Astra,44483,Grupos,B,Decider,3,LCQ South America
BEAST,Six Karma,LATAM,168,12,14,0,-2,"114,1",0,3,-3,"0,41",Havan Liberty,BR,Split,Six Karma,Ataque,4,13,Perdedor,4,0,Sage,44483,Grupos,B,Decider,3,LCQ South America
Maka,Six Karma,LATAM,128,6,15,6,-9,"96,5",0,2,-2,"0,15",Havan Liberty,BR,Split,Six Karma,Ataque,4,13,Perdedor,4,0,Viper,44483,Grupos,B,Decider,3,LCQ South America
Mited,Six Karma,LATAM,100,5,13,2,-8,"139,4",0,3,-3,"0,07",Havan Liberty,BR,Split,Six Karma,Ataque,4,13,Perdedor,4,0,Raze,44483,Grupos,B,Decider,3,LCQ South America
liazzi,Havan Liberty,BR,261,27,26,6,1,"199,6",6,5,1,"0,14",Six Karma,LATAM,Ascent,Havan Liberty,Ataque,17,15,Vencedor,10,7,Raze,44483,Grupos,B,Decider,3,LCQ South America
shion,Havan Liberty,BR,237,27,22,25,5,"175,2",1,1,0,"0,21",Six Karma,LATAM,Ascent,Havan Liberty,Ataque,17,15,Vencedor,10,7,Breach,44483,Grupos,B,Decider,3,LCQ South America
krain,Havan Liberty,BR,236,29,20,11,9,"157,4",3,1,2,"0,34",Six Karma,LATAM,Ascent,Havan Liberty,Ataque,17,15,Vencedor,10,7,Sova,44483,Grupos,B,Decider,3,LCQ South America
Myssen,Havan Liberty,BR,150,18,22,11,-4,"111,6",4,6,-2,"0,45",Six Karma,LATAM,Ascent,Havan Liberty,Ataque,17,15,Vencedor,10,7,Skye,44483,Grupos,B,Decider,3,LCQ South America
pleets,Havan Liberty,BR,142,13,24,13,-11,"105,2",3,2,1,"0,14",Six Karma,LATAM,Ascent,Havan Liberty,Ataque,17,15,Vencedor,10,7,Astra,44483,Grupos,B,Decider,3,LCQ South America
xander,Six Karma,LATAM,308,34,19,7,15,"191,9",9,3,6,"0,13",Havan Liberty,BR,Ascent,Havan Liberty,Defesa,15,17,Perdedor,9,6,Jett,44483,Grupos,B,Decider,3,LCQ South America
Mited,Six Karma,LATAM,224,24,26,8,-2,"151,3",1,2,-1,"0,25",Havan Liberty,BR,Ascent,Havan Liberty,Defesa,15,17,Perdedor,9,6,Reyna,44483,Grupos,B,Decider,3,LCQ South America
BEAST,Six Karma,LATAM,201,22,21,10,1,"197,8",2,0,2,"0,21",Havan Liberty,BR,Ascent,Havan Liberty,Defesa,15,17,Perdedor,9,6,Sova,44483,Grupos,B,Decider,3,LCQ South America
BandiCoot,Six Karma,LATAM,166,19,22,9,-3,"133,6",1,5,-4,"0,16",Havan Liberty,BR,Ascent,Havan Liberty,Defesa,15,17,Perdedor,9,6,Astra,44483,Grupos,B,Decider,3,LCQ South America
Maka,Six Karma,LATAM,147,15,26,7,-11,"107,1",2,7,-5,"0,2",Havan Liberty,BR,Ascent,Havan Liberty,Defesa,15,17,Perdedor,9,6,Killjoy,44483,Grupos,B,Decider,3,LCQ South America
kiNgg,Australs,LATAM,262,19,16,6,3,"177,6",3,4,-1,"0,1",Havan Liberty,BR,Split,Australs,Ataque,13,9,Vencedor,7,6,Raze,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
Tacolilla,Australs,LATAM,206,16,15,6,1,"128,1",2,1,1,"0,24",Havan Liberty,BR,Split,Australs,Ataque,13,9,Vencedor,7,6,Sage,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
Melser,Australs,LATAM,201,16,10,7,6,"140,8",1,3,-2,"0,31",Havan Liberty,BR,Split,Australs,Ataque,13,9,Vencedor,7,6,Astra,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
Capi,Australs,LATAM,160,13,13,2,0,"112,4",1,1,0,"0,22",Havan Liberty,BR,Split,Australs,Ataque,13,9,Vencedor,7,6,Cypher,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
adverso,Australs,LATAM,156,12,15,7,-3,"103,3",2,4,-2,"0,19",Havan Liberty,BR,Split,Australs,Ataque,13,9,Vencedor,7,6,Reyna,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
krain,Havan Liberty,BR,225,17,17,7,0,"150,9",1,1,0,"0,2",Australs,LATAM,Split,Australs,Defesa,9,13,Perdedor,4,5,Skye,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
shion,Havan Liberty,BR,202,15,16,6,-1,126,4,5,-1,"0,14",Australs,LATAM,Split,Australs,Defesa,9,13,Perdedor,4,5,Raze,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
Myssen,Havan Liberty,BR,201,16,14,2,2,"141,7",6,1,5,"0,44",Australs,LATAM,Split,Australs,Defesa,9,13,Perdedor,4,5,Viper,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
pleets,Havan Liberty,BR,166,13,15,6,-2,"110,2",2,2,0,"0,11",Australs,LATAM,Split,Australs,Defesa,9,13,Perdedor,4,5,Astra,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
liazzi,Havan Liberty,BR,131,8,14,2,-6,"99,1",0,0,0,"0,27",Australs,LATAM,Split,Australs,Defesa,9,13,Perdedor,4,5,Killjoy,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
Melser,Australs,LATAM,306,21,12,4,9,"189,8",4,2,2,"0,24",Havan Liberty,BR,Icebox,Havan Liberty,Ataque,13,7,Vencedor,10,3,Reyna,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
kiNgg,Australs,LATAM,233,18,10,7,8,"140,6",4,1,3,"0,22",Havan Liberty,BR,Icebox,Havan Liberty,Ataque,13,7,Vencedor,10,3,Viper,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
Tacolilla,Australs,LATAM,224,15,12,4,3,"193,9",2,1,1,"0,23",Havan Liberty,BR,Icebox,Havan Liberty,Ataque,13,7,Vencedor,10,3,Jett,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
Capi,Australs,LATAM,170,14,10,10,4,"110,1",1,3,-2,"0,29",Havan Liberty,BR,Icebox,Havan Liberty,Ataque,13,7,Vencedor,10,3,Sage,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
adverso,Australs,LATAM,168,12,11,4,1,"119,6",0,2,-2,"0,18",Havan Liberty,BR,Icebox,Havan Liberty,Ataque,13,7,Vencedor,10,3,Sova,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
shion,Havan Liberty,BR,268,17,16,8,1,"171,4",2,0,2,"0,2",Australs,LATAM,Icebox,Havan Liberty,Defesa,7,13,Perdedor,2,5,Breach,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
krain,Havan Liberty,BR,167,12,15,2,-3,"105,1",2,2,0,"0,44",Australs,LATAM,Icebox,Havan Liberty,Defesa,7,13,Perdedor,2,5,Sova,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
liazzi,Havan Liberty,BR,145,10,17,1,-7,"104,2",1,4,-3,"0,2",Australs,LATAM,Icebox,Havan Liberty,Defesa,7,13,Perdedor,2,5,Jett,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
pleets,Havan Liberty,BR,130,9,15,5,-6,"79,6",2,3,-1,"0,15",Australs,LATAM,Icebox,Havan Liberty,Defesa,7,13,Perdedor,2,5,Sage,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
Myssen,Havan Liberty,BR,128,7,17,5,-10,"91,5",2,2,0,"0,31",Australs,LATAM,Icebox,Havan Liberty,Defesa,7,13,Perdedor,2,5,Viper,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
mwzera,Gamelanders Blue,BR,253,20,19,4,1,"170,8",4,1,3,"0,12",FURIA,BR,Icebox,Gamelanders Blue,Defesa,13,11,Vencedor,9,4,Raze,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
Jonn,Gamelanders Blue,BR,230,19,17,1,2,"153,8",4,3,1,"0,4",FURIA,BR,Icebox,Gamelanders Blue,Defesa,13,11,Vencedor,9,4,Reyna,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
CTC,Gamelanders Blue,BR,193,13,17,9,-4,"140,2",2,0,2,"0,18",FURIA,BR,Icebox,Gamelanders Blue,Defesa,13,11,Vencedor,9,4,Sova,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
BELKY,Gamelanders Blue,BR,129,12,17,7,-5,"93,3",1,3,-2,"0,18",FURIA,BR,Icebox,Gamelanders Blue,Defesa,13,11,Vencedor,9,4,Astra,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
Nyang,Gamelanders Blue,BR,73,6,16,6,-10,"60,7",2,4,-2,"0,24",FURIA,BR,Icebox,Gamelanders Blue,Defesa,13,11,Vencedor,9,4,Sage,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
Mazin,FURIA,BR,240,21,14,8,7,"195,1",0,4,-4,"0,42",Gamelanders Blue,BR,Icebox,Gamelanders Blue,Ataque,11,13,Perdedor,8,3,Viper,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
Quick,FURIA,BR,232,19,16,4,3,146,4,3,1,"0,23",Gamelanders Blue,BR,Icebox,Gamelanders Blue,Ataque,11,13,Perdedor,8,3,Sage,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
xand,FURIA,BR,217,17,14,4,3,"185,2",4,2,2,"0,2",Gamelanders Blue,BR,Icebox,Gamelanders Blue,Ataque,11,13,Perdedor,8,3,Jett,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
Nozwerr,FURIA,BR,188,15,15,8,0,"109,5",2,1,1,"0,14",Gamelanders Blue,BR,Icebox,Gamelanders Blue,Ataque,11,13,Perdedor,8,3,Sova,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
Khalil,FURIA,BR,165,14,11,2,3,"110,3",1,3,-2,"0,27",Gamelanders Blue,BR,Icebox,Gamelanders Blue,Ataque,11,13,Perdedor,8,3,Killjoy,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
Nyang,Gamelanders Blue,BR,225,13,15,8,-2,"160,7",0,3,-3,"0,15",FURIA,BR,Ascent,FURIA,Defesa,5,13,Perdedor,3,2,Kay/O,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
CTC,Gamelanders Blue,BR,200,12,15,4,-3,"181,2",0,3,-3,"0,14",FURIA,BR,Ascent,FURIA,Defesa,5,13,Perdedor,3,2,Sova,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
Jonn,Gamelanders Blue,BR,192,11,17,4,-6,"138,4",0,3,-3,"0,26",FURIA,BR,Ascent,FURIA,Defesa,5,13,Perdedor,3,2,Jett,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
BELKY,Gamelanders Blue,BR,180,13,15,3,-2,"107,8",1,4,-3,"0,28",FURIA,BR,Ascent,FURIA,Defesa,5,13,Perdedor,3,2,Astra,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
mwzera,Gamelanders Blue,BR,141,7,17,6,-10,"99,9",2,2,0,"0,12",FURIA,BR,Ascent,FURIA,Defesa,5,13,Perdedor,3,2,Skye,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
xand,FURIA,BR,316,22,13,5,9,"215,3",5,1,4,"0,35",Gamelanders Blue,BR,Ascent,FURIA,Ataque,13,5,Vencedor,10,3,Jett,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
Khalil,FURIA,BR,261,17,9,4,8,"177,8",2,0,2,"0,24",Gamelanders Blue,BR,Ascent,FURIA,Ataque,13,5,Vencedor,10,3,Killjoy,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
Mazin,FURIA,BR,235,16,9,8,7,"156,3",4,0,4,"0,38",Gamelanders Blue,BR,Ascent,FURIA,Ataque,13,5,Vencedor,10,3,Astra,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
Quick,FURIA,BR,185,11,14,10,-3,"129,8",4,2,2,"0,17",Gamelanders Blue,BR,Ascent,FURIA,Ataque,13,5,Vencedor,10,3,Sage,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
Nozwerr,FURIA,BR,169,13,11,6,2,"105,1",0,0,0,"0,14",Gamelanders Blue,BR,Ascent,FURIA,Ataque,13,5,Vencedor,10,3,Sova,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
Jonn,Gamelanders Blue,BR,337,27,14,3,13,213,3,4,-1,"0,33",FURIA,BR,Split,Gamelanders Blue,Ataque,8,13,Perdedor,2,6,Jett,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
mwzera,Gamelanders Blue,BR,248,16,18,9,-2,"178,9",4,3,1,"0,1",FURIA,BR,Split,Gamelanders Blue,Ataque,8,13,Perdedor,2,6,Raze,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
Nyang,Gamelanders Blue,BR,231,19,13,6,6,"141,2",0,1,-1,"0,2",FURIA,BR,Split,Gamelanders Blue,Ataque,8,13,Perdedor,2,6,Viper,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
BELKY,Gamelanders Blue,BR,102,8,16,7,-8,"67,4",1,2,-1,"0,11",FURIA,BR,Split,Gamelanders Blue,Ataque,8,13,Perdedor,2,6,Astra,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
CTC,Gamelanders Blue,BR,82,5,17,3,-12,69,0,3,-3,"0,18",FURIA,BR,Split,Gamelanders Blue,Ataque,8,13,Perdedor,2,6,Cypher,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
xand,FURIA,BR,268,20,13,4,7,"173,6",5,2,3,"0,17",Gamelanders Blue,BR,Split,Gamelanders Blue,Defesa,13,8,Vencedor,3,10,Jett,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
Nozwerr,FURIA,BR,251,17,17,7,0,"175,5",2,5,-3,"0,16",Gamelanders Blue,BR,Split,Gamelanders Blue,Defesa,13,8,Vencedor,3,10,Raze,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
Khalil,FURIA,BR,223,20,13,3,7,"154,1",2,0,2,"0,3",Gamelanders Blue,BR,Split,Gamelanders Blue,Defesa,13,8,Vencedor,3,10,Killjoy,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
Mazin,FURIA,BR,184,13,16,11,-3,"136,3",2,1,1,"0,33",Gamelanders Blue,BR,Split,Gamelanders Blue,Defesa,13,8,Vencedor,3,10,Astra,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
Quick,FURIA,BR,116,8,17,9,-9,"69,2",2,0,2,"0,05",Gamelanders Blue,BR,Split,Gamelanders Blue,Defesa,13,8,Vencedor,3,10,Viper,44485,Playoffs,Grupo,Semifinals,3,LCQ South America
Melser,Australs,LATAM,244,12,13,1,-1,"141,9",4,1,3,"0,28",FURIA,BR,Icebox,Australs,Defesa,2,13,Perdedor,0,2,Reyna,44486,Playoffs,Grupo,Grand Final,5,LCQ South America
adverso,Australs,LATAM,186,7,15,3,-8,"132,9",1,3,-2,"0,19",FURIA,BR,Icebox,Australs,Defesa,2,13,Perdedor,0,2,Sova,44486,Playoffs,Grupo,Grand Final,5,LCQ South America
kiNgg,Australs,LATAM,174,9,13,1,-4,"119,5",1,0,1,"0,32",FURIA,BR,Icebox,Australs,Defesa,2,13,Perdedor,0,2,Viper,44486,Playoffs,Grupo,Grand Final,5,LCQ South America
Tacolilla,Australs,LATAM,94,3,14,4,-11,"73,5",0,2,-2,"0,17",FURIA,BR,Icebox,Australs,Defesa,2,13,Perdedor,0,2,Jett,44486,Playoffs,Grupo,Grand Final,5,LCQ South America
Capi,Australs,LATAM,71,4,14,2,-10,"39,2",1,2,-1,"0,17",FURIA,BR,Icebox,Australs,Defesa,2,13,Perdedor,0,2,Sage,44486,Playoffs,Grupo,Grand Final,5,LCQ South America
Khalil,FURIA,BR,414,23,4,5,19,"285,1",2,0,2,"0,18",Australs,LATAM,Icebox,Australs,Ataque,13,2,Vencedor,10,3,Killjoy,44486,Playoffs,Grupo,Grand Final,5,LCQ South America
Nozwerr,FURIA,BR,395,23,6,5,17,"251,1",2,0,2,"0,2",Australs,LATAM,Icebox,Australs,Ataque,13,2,Vencedor,10,3,Sova,44486,Playoffs,Grupo,Grand Final,5,LCQ South America
Mazin,FURIA,BR,169,9,9,6,0,"178,5",2,2,0,"0,24",Australs,LATAM,Icebox,Australs,Ataque,13,2,Vencedor,10,3,Viper,44486,Playoffs,Grupo,Grand Final,5,LCQ South America
xand,FURIA,BR,157,7,9,4,-2,"105,2",1,4,-3,"0,16",Australs,LATAM,Icebox,Australs,Ataque,13,2,Vencedor,10,3,Jett,44486,Playoffs,Grupo,Grand Final,5,LCQ South America
Quick,FURIA,BR,105,7,7,9,0,"69,9",1,1,0,"0,12",Australs,LATAM,Icebox,Australs,Ataque,13,2,Vencedor,10,3,Sage,44486,Playoffs,Grupo,Grand Final,5,LCQ South America
kiNgg,Australs,LATAM,222,14,15,4,-1,"141,2",5,2,3,"0,27",FURIA,BR,Ascent,FURIA,Ataque,6,13,Perdedor,3,3,Sage,44486,Playoffs,Grupo,Grand Final,5,LCQ South America
Melser,Australs,LATAM,210,14,14,6,0,"134,5",4,1,3,"0,3",FURIA,BR,Ascent,FURIA,Ataque,6,13,Perdedor,3,3,Omen,44486,Playoffs,Grupo,Grand Final,5,LCQ South America
Tacolilla,Australs,LATAM,207,15,14,7,1,"120,1",2,1,1,"0,19",FURIA,BR,Ascent,FURIA,Ataque,6,13,Perdedor,3,3,Jett,44486,Playoffs,Grupo,Grand Final,5,LCQ South America
adverso,Australs,LATAM,142,8,18,8,-10,"99,2",0,2,-2,"0,2",FURIA,BR,Ascent,FURIA,Ataque,6,13,Perdedor,3,3,Sova,44486,Playoffs,Grupo,Grand Final,5,LCQ South America
Capi,Australs,LATAM,122,8,16,1,-8,"75,2",0,2,-2,"0,21",FURIA,BR,Ascent,FURIA,Ataque,6,13,Perdedor,3,3,Cypher,44486,Playoffs,Grupo,Grand Final,5,LCQ South America
xand,FURIA,BR,320,22,13,1,9,"185,6",4,3,1,"0,2",Australs,LATAM,Ascent,FURIA,Defesa,13,6,Vencedor,4,9,Jett,44486,Playoffs,Grupo,Grand Final,5,LCQ South America
Khalil,FURIA,BR,282,19,9,5,10,"171,5",2,1,1,"0,2",Australs,LATAM,Ascent,FURIA,Defesa,13,6,Vencedor,4,9,Killjoy,44486,Playoffs,Grupo,Grand Final,5,LCQ South America
Quick,FURIA,BR,234,15,12,7,3,"166,6",1,0,1,"0,28",Australs,LATAM,Ascent,FURIA,Defesa,13,6,Vencedor,4,9,Sage,44486,Playoffs,Grupo,Grand Final,5,LCQ South America
Nozwerr,FURIA,BR,177,10,12,6,-2,"142,3",0,3,-3,"0,16",Australs,LATAM,Ascent,FURIA,Defesa,13,6,Vencedor,4,9,Sova,44486,Playoffs,Grupo,Grand Final,5,LCQ South America
Mazin,FURIA,BR,142,11,13,6,-2,"93,7",1,4,-3,"0,23",Australs,LATAM,Ascent,FURIA,Defesa,13,6,Vencedor,4,9,Astra,44486,Playoffs,Grupo,Grand Final,5,LCQ South America
adverso,Australs,LATAM,213,12,15,2,-3,"140,2",1,4,-3,"0,2",FURIA,BR,Split,Australs,Ataque,5,13,Perdedor,3,2,Reyna,44486,Playoffs,Grupo,Grand Final,5,LCQ South America
Tacolilla,Australs,LATAM,191,12,15,4,-3,"118,6",3,2,1,"0,17",FURIA,BR,Split,Australs,Ataque,5,13,Perdedor,3,2,Sage,44486,Playoffs,Grupo,Grand Final,5,LCQ South America
kiNgg,Australs,LATAM,177,12,16,0,-4,"111,8",3,4,-1,"0,4",FURIA,BR,Split,Australs,Ataque,5,13,Perdedor,3,2,Raze,44486,Playoffs,Grupo,Grand Final,5,LCQ South America
Melser,Australs,LATAM,118,5,14,4,-9,"93,2",0,1,-1,"0,17",FURIA,BR,Split,Australs,Ataque,5,13,Perdedor,3,2,Astra,44486,Playoffs,Grupo,Grand Final,5,LCQ South America
Capi,Australs,LATAM,83,6,15,3,-9,"60,1",0,0,0,"0,14",FURIA,BR,Split,Australs,Ataque,5,13,Perdedor,3,2,Cypher,44486,Playoffs,Grupo,Grand Final,5,LCQ South America
Quick,FURIA,BR,331,22,10,6,12,"194,4",2,1,1,"0,17",Australs,LATAM,Split,Australs,Defesa,13,5,Vencedor,4,9,Viper,44486,Playoffs,Grupo,Grand Final,5,LCQ South America
Nozwerr,FURIA,BR,285,18,9,6,9,"184,8",4,3,1,"0,14",Australs,LATAM,Split,Australs,Defesa,13,5,Vencedor,4,9,Raze,44486,Playoffs,Grupo,Grand Final,5,LCQ South America
Mazin,FURIA,BR,224,17,8,6,9,"186,6",0,1,-1,"0,23",Australs,LATAM,Split,Australs,Defesa,13,5,Vencedor,4,9,Astra,44486,Playoffs,Grupo,Grand Final,5,LCQ South America
xand,FURIA,BR,194,12,11,5,1,"132,4",4,1,3,"0,21",Australs,LATAM,Split,Australs,Defesa,13,5,Vencedor,4,9,Jett,44486,Playoffs,Grupo,Grand Final,5,LCQ South America
Khalil,FURIA,BR,116,6,9,3,-3,"89,3",1,1,0,"0,05",Australs,LATAM,Split,Australs,Defesa,13,5,Vencedor,4,9,Killjoy,44486,Playoffs,Grupo,Grand Final,5,LCQ South America